match,mis-match,rep.match,N_s,Q_gap_count,Q_gap_bases,T_gap_count,T_gap_bases,strand,Q_name_prefix,Q_name_suffix,Q_size,Q_start,Q_end,GeneID,TranscriptID,ExonNum,T_size,T_start,T_end,block_count,blockSizes,qStarts,tStarts,Probability_Functional,Essential_Status
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10006_2,30,0,30,ENSG00000227475.1,ENST00000412439.1,exon1,110,44,74,1,"30,","0,","44,",0.128,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10138_5,30,0,30,ENSG00000290445.1,ENST00000637719.1,exon1,435,190,220,1,"30,","0,","190,",0.112,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_1015_1,30,0,30,ENSG00000235434.1,ENST00000454736.1,exon1,259,21,51,1,"30,","0,","21,",0.04,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10189_3,30,0,30,ENSG00000285712.1,ENST00000650340.1,exon1,458,224,254,1,"30,","0,","224,",0.008,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_10194_3,30,0,30,ENSG00000285712.1,ENST00000650340.1,exon1,458,403,433,1,"30,","0,","403,",0.008,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10300_1,30,0,30,ENSG00000227683.1,ENST00000422807.1,exon1,345,247,277,1,"30,","0,","247,",0.184,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10309_1,30,0,30,ENSG00000231964.1,ENST00000435635.1,exon1,81,9,39,1,"30,","0,","9,",0.128,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10331_2,30,0,30,ENSG00000289092.1,ENST00000693103.1,exon1,1388,725,755,1,"30,","0,","725,",0.888,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_10418_1,30,0,30,ENSG00000290453.1,ENST00000532854.5,exon1,210,92,122,1,"30,","0,","92,",0.792,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_10418_2,30,0,30,ENSG00000290453.1,ENST00000532854.5,exon1,210,128,158,1,"30,","0,","128,",0.792,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10493_1,30,0,30,ENSG00000290956.1,ENST00000456967.5,exon1,1277,1041,1071,1,"30,","0,","1041,",0.064,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10493_2,30,0,30,ENSG00000290956.1,ENST00000456967.5,exon1,1277,318,348,1,"30,","0,","318,",0.064,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10493_3,30,0,30,ENSG00000290956.1,ENST00000456967.5,exon1,1277,428,458,1,"30,","0,","428,",0.064,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10493_4,30,0,30,ENSG00000290956.1,ENST00000456967.5,exon1,1277,944,974,1,"30,","0,","944,",0.064,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_1061_3,30,0,30,ENSG00000254034.2,ENST00000520055.1,exon1,499,378,408,1,"30,","0,","378,",0.128,NOT ESSENTIAL
23,0,0,0,0,0,0,0,+,human_lncrna,fused_1065_1,30,7,30,ENSG00000289340.2,ENST00000692096.2,exon1,1351,835,858,1,"23,","7,","835,",0.376,NOT ESSENTIAL
23,0,0,0,0,0,0,0,+,human_lncrna,fused_1065_1,30,7,30,ENSG00000289099.1,ENST00000684838.1,exon1,756,704,727,1,"23,","7,","704,",0.088,NOT ESSENTIAL
23,0,0,0,0,0,0,0,+,human_lncrna,fused_1065_1,30,7,30,ENSG00000235523.1,ENST00000427901.1,exon1,290,220,243,1,"23,","7,","220,",0.008,NOT ESSENTIAL
24,0,0,0,0,0,0,0,-,human_lncrna,fused_1065_1,30,6,30,ENSG00000268289.1,ENST00000598893.1,exon1,236,176,200,1,"24,","0,","176,",0.112,NOT ESSENTIAL
23,0,0,0,0,0,0,0,-,human_lncrna,fused_1065_1,30,7,30,ENSG00000253389.2,ENST00000522388.1,exon1,718,87,110,1,"23,","0,","87,",0.592,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_1073_3,30,0,30,ENSG00000236936.1,ENST00000416959.1,exon1,264,132,162,1,"30,","0,","132,",0.92,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10968_2,30,0,30,ENSG00000289193.2,ENST00000690087.2,exon1,133,40,70,1,"30,","0,","40,",0.904,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_10977_3,30,0,30,ENSG00000224222.2,ENST00000667615.1,exon1,421,383,413,1,"30,","0,","383,",0.032,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_1103_3,30,0,30,ENSG00000218510.9,ENST00000635675.2,exon1,378,10,40,1,"30,","0,","10,",0.192,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_11054_2,30,0,30,ENSG00000289592.2,ENST00000689427.2,exon1,672,162,192,1,"30,","0,","162,",0.56,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_11054_3,30,0,30,ENSG00000289592.2,ENST00000689427.2,exon1,672,566,596,1,"30,","0,","566,",0.56,NOT ESSENTIAL
30,0,0,0,0,0,0,0,+,human_lncrna,fused_11102_3,30,0,30,ENSG00000272630.1,ENST00000608005.1,exon1,1213,630,660,1,"30,","0,","630,",0.016,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11103_1,30,0,30,ENSG00000272630.1,ENST00000608005.1,exon1,1213,197,227,1,"30,","0,","197,",0.016,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11120_1,30,0,30,ENSG00000272791.1,ENST00000609434.1,exon1,934,367,397,1,"30,","0,","367,",0.024,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11127_1,30,0,30,ENSG00000279088.2,ENST00000625041.2,exon1,1354,839,869,1,"30,","0,","839,",0.672,NOT ESSENTIAL
30,0,0,0,0,0,0,0,-,human_lncrna,fused_11127_2,30,0,30,ENSG00000279088.2,ENST00000625041.2,exon1,1354,81,111,1,"30,","0,","81,",0.672,NOT ESSENTIAL
